YEAR_ID,MONTH_ID,SEQ,CUTOFF_DATE,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Customer Size,Development Lending Program,Location,Region,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,   NPL   ,   Sum of Sum of Approved Amount   ,   Sum of Sum of Collateral Amount   ,   Sum of Sum of Release Amount   ,   Sum of Sum of Booked Reserves   ,   Sum of Sum of Loan Portfolio   ,MONTH_YEAR,GDP,INFL,UNEMP,USD,Month Name,IS_NPL,Interest Rate Range
2022,12,13,12/31/2022,1,BORROWER_100,BORROWER_100-2022-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,22-Dec,7.1,8.1,4.3,55.6839,DEC,1,15.00% - 19.99%
2023,12,17,12/31/2023,1,BORROWER_100,BORROWER_100-2023-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,23-Dec,5.54,3.9,3.1,55.5877,DEC,1,15.00% - 19.99%
2024,12,21,12/31/2024,1,BORROWER_100,BORROWER_100-2024-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,24-Dec,5.3,2.9,3.1,58.448,DEC,1,15.00% - 19.99%
2025,12,25,12/31/2025,1,BORROWER_100,BORROWER_100-2025-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,2025-12,3,1.8,4.4,58.8488,DEC,1,15.00% - 19.99%
2019,12,1,12/31/2019,1,BORROWER_1002,BORROWER_1002-2019-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,CURRENT,6.5,Variable,REVOLVING CREDIT LINE,Secured,MACHINERY & EQUIPMENT,DBP,Short Term,177,,CUR,PA,0.00,78000000.00,13136000.00,9000000.00,108047.49,9000000.00,19-Dec,6.6,2.4,4.59,50.7671,DEC,0,5.00% - 7.99%
2020,12,5,12/31/2020,1,BORROWER_1002,BORROWER_1002-2020-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,CURRENT,6.5,Variable,REVOLVING CREDIT LINE,Secured,MACHINERY & EQUIPMENT,DBP,Short Term,178,,CUR,PA,0.00,108000000.00,16228000.00,15000000.00,0.00,15000000.00,20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,5.00% - 7.99%
2021,12,9,12/31/2021,1,BORROWER_1002,BORROWER_1002-2021-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,PASS,6.5,Variable,REVOLVING CREDIT LINE,Secured,MACHINERY & EQUIPMENT,DBP,Short Term,180,,CUR,PA,0.00,90000000.00,9276000.00,14000000.00,0.00,14000000.00,21-Dec,7.9,3.1,6.6,50.2478,DEC,0,5.00% - 7.99%
2022,12,13,12/31/2022,1,BORROWER_1002,BORROWER_1002-2022-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,PASS,6.5,Variable,REVOLVING CREDIT LINE,Secured,MACHINERY & EQUIPMENT,DBP,Short Term,180,,CUR,PA,0.00,90000000.00,6108000.00,14000000.00,0.00,14000000.00,22-Dec,7.1,8.1,4.3,55.6839,DEC,0,5.00% - 7.99%
2023,12,17,12/31/2023,1,BORROWER_1002,BORROWER_1002-2023-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,SPECIALLY MENTIONED,10.7,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Medium Term,1827,,CUR,PA,0.00,14000000.00,718000.00,14000000.00,1074921.25,13300000.00,23-Dec,5.54,3.9,3.1,55.5877,DEC,0,10.00% - 11.99%
2024,12,21,12/31/2024,1,BORROWER_1002,BORROWER_1002-2024-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,PASS,10.8,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Medium Term,1827,,CUR,PA,0.00,14000000.00,718000.00,14000000.00,0.00,10500000.00,24-Dec,5.3,2.9,3.1,58.448,DEC,0,10.00% - 11.99%
