YEAR_ID,MONTH_ID,SEQ,CUTOFF_DATE,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Customer Size,Development Lending Program,Location,Region,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code, NPL ,Sum of Sum of Approved Amount,Sum of Sum of Collateral Amount,Sum of Sum of Release Amount,Sum of Sum of Booked Reserves,Sum of Sum of Loan Portfolio,Month Name,Interest Rate Range,MONTH_YEAR
2022,6,11,6/30/2022,1,BORROWER_1,BORROWER_1-2022-6,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,119,,CUR,PA,0,100000000,0,10000000,332901.56,10000000,JUN,8.00% - 9.99%,22-Jun
2022,3,10,3/31/2022,1,BORROWER_1,BORROWER_1-2022-3,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,119,,CUR,PA,0,100000000,0,10000000,332901.56,10000000,MAR,8.00% - 9.99%,22-Mar
2023,12,17,12/31/2023,1,BORROWER_1,BORROWER_1-2023-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,31,,CUR,PA,0,195000000,0,14900000,0,14900000,DEC,8.00% - 9.99%,23-Dec
2023,9,16,9/30/2023,1,BORROWER_1,BORROWER_1-2023-9,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,120,,CUR,PA,0,195000000,0,15000000,0,15000000,SEPT,8.00% - 9.99%,23-Sep
2023,6,15,6/30/2023,1,BORROWER_1,BORROWER_1-2023-6,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,120,,CUR,PA,0,210000000,0,15000000,1508013.44,15000000,JUN,8.00% - 9.99%,23-Jun
2023,3,14,3/31/2023,1,BORROWER_1,BORROWER_1-2023-3,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,119,,CUR,PA,0,195000000,0,15000000,1508013.64,15000000,MAR,8.00% - 9.99%,23-Mar
2024,12,21,12/31/2024,1,BORROWER_1,BORROWER_1-2024-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,90,,CUR,PA,0,210000000,0,15000000,0,15000000,DEC,8.00% - 9.99%,24-Dec
2024,9,20,9/30/2024,1,BORROWER_1,BORROWER_1-2024-9,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,105,,CUR,PA,0,195000000,0,15000000,0,15000000,SEPT,8.00% - 9.99%,24-Sep
2024,6,19,6/30/2024,1,BORROWER_1,BORROWER_1-2024-6,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,120,,CUR,PA,0,210000000,0,15000000,0,15000000,JUN,8.00% - 9.99%,24-Jun
2024,3,18,3/31/2024,1,BORROWER_1,BORROWER_1-2024-3,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,119,,CUR,PA,0,195000000,0,14800000,0,14800000,MAR,8.00% - 9.99%,24-Mar
2025,3,22,3/31/2025,1,BORROWER_1,BORROWER_1-2025-3,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,90,3/16/2025,PDO,PA,0,210000000,0,14950000,0,14950000,MAR,8.00% - 9.99%,25-Mar
2019,12,1,12/31/2019,1,BORROWER_100,BORROWER_100-2019-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,DEC,15.00% - 19.99%,19-Dec
2020,12,5,12/31/2020,1,BORROWER_100,BORROWER_100-2020-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,DEC,15.00% - 19.99%,20-Dec
2020,9,4,9/30/2020,1,BORROWER_100,BORROWER_100-2020-9,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,SEPT,15.00% - 19.99%,20-Sep
2020,6,3,6/30/2020,1,BORROWER_100,BORROWER_100-2020-6,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,JUN,15.00% - 19.99%,20-Jun
2020,3,2,3/31/2020,1,BORROWER_100,BORROWER_100-2020-3,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,MAR,15.00% - 19.99%,20-Mar
2021,12,9,12/31/2021,1,BORROWER_100,BORROWER_100-2021-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,DEC,15.00% - 19.99%,21-Dec
2021,9,8,9/30/2021,1,BORROWER_100,BORROWER_100-2021-9,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,SEPT,15.00% - 19.99%,21-Sep
2021,6,7,6/30/2021,1,BORROWER_100,BORROWER_100-2021-6,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,JUN,15.00% - 19.99%,21-Jun
2021,3,6,3/31/2021,1,BORROWER_100,BORROWER_100-2021-3,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,MAR,15.00% - 19.99%,21-Mar
2022,12,13,12/31/2022,1,BORROWER_100,BORROWER_100-2022-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,DEC,15.00% - 19.99%,22-Dec
