YEAR_ID,MONTH_ID,SEQ,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Govt Priv,Customer Size,Development Lending Program,Location,Region,Region Full,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,  Sum of Sum of Approved Amount  ,  Sum of Sum of Collateral Amount  ,  Sum of Sum of Release Amount  ,  Sum of Sum of Booked Reserves  ,  Sum of Sum of Loan Portfolio ,  NPA ,Month Name,Interest Rate Range,Longitude,Latitude,Location Proper,CODE_NAME,AO ID,AO NAME,SURVEY_ID
2019,12,1,1,BORROWER_2691,BORROWER_2691-2019-12,LUCENA LENDING CENTER,SLLG,"AGRICULTURE, FORESTRY AND FISHING",SME Loans - Medium,Private,Medium,Broiler Contract Growing (BCG) Program,Quezon,Calabarzon,Region IV-A  (CALABARZON),CURRENT,6.5,Variable,TERM LOAN,Unsecured,NO COLLATERAL,DBP,Long Term,3497,,CUR,PA,"206,383,800.00","227,701,497.48","63,000,000.00", -   ,"63,000,000.00", -   ,DEC,5.00% - 7.99%,121.0475,14.65,Quezon,2691,627,"ZARSAGA, LADY BERNADETTE B.",163
2019,12,1,1,BORROWER_2692,BORROWER_2692-2019-12,CEBU (SOUTH) LENDING CENTER,VLG,CONSTRUCTION,Loans to Private Corp - Non Financial,Private,Large,No Program,Cebu,Central Visayas,Region VII  (Central Visayas),CURRENT,5,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,161,,CUR,PA,"105,000,000.00", -   ,"30,000,000.00", -   ,"30,000,000.00", -   ,DEC,5.00% - 7.99%,123.75,10.32,Cebu,2692,,,
2019,12,1,1,BORROWER_2696,BORROWER_2696-2019-12,CATBALOGAN LENDING CENTER,VLG,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,SME Loans - Medium,Private,Medium,Strategic Healthcare Investments for Enhanced Lending and Development,Samar,Eastern Visayas,Region VIII  (Eastern Visayas),CURRENT,5,Fixed,TERM LOAN,Secured,REAL ESTATE,JICA,Long Term,5109,,CUR,PA,"210,000,000.00","377,067,342.00","44,000,000.00", -   ,"44,000,000.00", -   ,DEC,5.00% - 7.99%,124.6,12.07,Samar,2696,249,"MEDINA-CONDES, MELISSA H.",120
2019,12,1,1,BORROWER_2697,BORROWER_2697-2019-12,BACOLOD LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Loans to Private Corp - Non Financial,Private,Large,No Program,Negros Occidental,Western Visayas,Region VI  (Western Visayas),CURRENT,4.2,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,180,,CUR,PA,"30,000,000.00", -   ,"30,000,000.00", -   ,"30,000,000.00", -   ,DEC,3.00% - 4.99%,122.82,9.98,Negros Occidental,2697,261,"SUBEBE, PINKY L.",25
2019,12,1,1,BORROWER_2698,BORROWER_2698-2019-12,BACOLOD LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Medium,Private,Medium,No Program,Negros Occidental,Western Visayas,Region VI  (Western Visayas),CURRENT,7,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,88,,CUR,PA,"2,000,000.00","3,434,000.00","1,000,000.00", -   ,"1,000,000.00", -   ,DEC,5.00% - 7.99%,122.82,9.98,Negros Occidental,2698,,,
2019,12,1,1,BORROWER_2699,BORROWER_2699-2019-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Private,Medium,No Program,Negros Oriental,Central Visayas,Region VII  (Central Visayas),SPECIALLY MENTIONED,6,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,135,,CUR,PA,"53,222,000.00","30,990,000.00","23,950,000.00","533,065.00","23,950,000.00", -   ,DEC,5.00% - 7.99%,123.3081,9.3103,Negros Oriental,2699,,,
2019,12,1,1,BORROWER_27,BORROWER_27-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,REAL ESTATE ACTIVITIES,Loans to Individual,Private,Micro,No Program,Bulacan,Central Luzon,Region III (Central Luzon),CURRENT,14.25,Variable,TERM LOAN,Secured,REAL ESTATE,DBP,Long Term,7305,,CUR,PA,"139,200.00","85,000.00","139,200.00", -   ,"42,428.01", -   ,DEC,12.00% - 14.99%,121.0453,14.8139,Bulacan,27,,,
2019,12,1,1,BORROWER_270,BORROWER_270-2019-12,KIDAPAWAN LENDING CENTER,SWMLG,"AGRICULTURE, FORESTRY AND FISHING",SME Loans - Small,Private,Small,MSME CENTER SEED,North Cotabato,Soccsksargen,Region XII (SOCCSKSARGEN),CURRENT,6.25,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,180,,CUR,PA,"75,000,000.00","49,680,000.00","14,200,000.00", -   ,"14,200,000.00", -   ,DEC,5.00% - 7.99%,124.25,7.22,North Cotabato,270,595,"VILLALOBOS, HANNAH GRACE L.",72
2019,12,1,1,BORROWER_2700,BORROWER_2700-2019-12,BACOLOD LENDING CENTER,VLG,MANUFACTURING,SME Loans - Medium,Private,Medium,MSME CENTER SEED,Negros Occidental,Western Visayas,Region VI  (Western Visayas),CURRENT,6,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,180,,CUR,PA,"30,000,000.00","18,430,000.00","5,000,000.00", -   ,"5,000,000.00", -   ,DEC,5.00% - 7.99%,122.82,9.98,Negros Occidental,2700,,,
2019,12,1,1,BORROWER_2702,BORROWER_2702-2019-12,ILOILO LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Microfinance Loans,Private,Micro,No Program,Capiz,Western Visayas,Region VI  (Western Visayas),CURRENT,7,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,178,,CUR,PA,"2,000,000.00","2,115,000.00","2,000,000.00", -   ,"2,000,000.00", -   ,DEC,5.00% - 7.99%,122.7511,11.5894,Capiz,2702,,,
2019,12,1,1,BORROWER_2703,BORROWER_2703-2019-12,ILOILO LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Small,Private,Small,No Program,Iloilo,Western Visayas,Region VI  (Western Visayas),CURRENT,6,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,90,,CUR,PA,"21,000,000.00", -   ,"6,300,000.00", -   ,"6,300,000.00", -   ,DEC,5.00% - 7.99%,122.57,10.72,Iloilo,2703,,,
2019,12,1,1,BORROWER_2704,BORROWER_2704-2019-12,ILOILO LENDING CENTER,VLG,REAL ESTATE ACTIVITIES,Loans to Private Corp - Non Financial,Private,Large,Building Affordable Homes Accessible to Every Filipino,Capiz,Western Visayas,Region VI  (Western Visayas),CURRENT,5.5,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,357,,CUR,PA,"160,000,000.00","275,616,000.00","40,000,000.00", -   ,"40,000,000.00", -   ,DEC,5.00% - 7.99%,122.7511,11.5894,Capiz,2704,277,"LIRAZAN, ANTONETTE Y.",134
2019,12,1,1,BORROWER_2706,BORROWER_2706-2019-12,ILOILO LENDING CENTER,VLG,FINANCIAL  AND INSURANCE ACTIVITIES,Loans to Private Corp - Financial,Private,Large,No Program,Guimaras,Western Visayas,Region VI  (Western Visayas),CURRENT,6.5,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,360,,CUR,PA,"2,000,000.00", -   ,"2,000,000.00", -   ,"1,400,000.00", -   ,DEC,5.00% - 7.99%,122.5398,10.5259,Guimaras,2706,,,
2019,12,1,1,BORROWER_2709,BORROWER_2709-2019-12,BUTUAN LENDING CENTER,NMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Medium,Private,Medium,No Program,Agusan Del Sur,Caraga,Region XIII (Caraga),SPECIALLY MENTIONED,5.5,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,88,,CUR,PA,"278,000,000.00","243,012,000.00","77,451,285.18", -   ,"73,465,563.82", -   ,DEC,5.00% - 7.99%,125.75,8.71,Agusan Del Sur,2709,342,"CALLANTA, KRESTA KNIEVES N.",114
2019,12,1,1,BORROWER_2710,BORROWER_2710-2019-12,BUTUAN LENDING CENTER,NMLG,"AGRICULTURE, FORESTRY AND FISHING",Loans to Private Corp - Non Financial,Private,Large,No Program,Surigao Del Norte,Caraga,Region XIII (Caraga),CURRENT,6.3,Variable,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Short Term,179,,CUR,PA,"3,400,000,000.00","2,734,844,000.00","380,000,000.00","167,289.94","353,214,285.70", -   ,DEC,5.00% - 7.99%,125.4958,9.7897,Surigao Del Norte,2710,327,"LUMAYAG, LAARNI C.",22
